class_name,hour,count,percentage
J23517,0,350,2.85
J23517,1,558,4.54
J23517,2,467,3.8
J23517,3,479,3.9
J23517,4,302,2.46
J23517,5,327,2.66
J23517,6,329,2.68
J23517,7,665,5.41
J23517,8,788,6.41
J23517,9,554,4.51
J23517,10,992,8.07
J23517,11,1226,9.98
J23517,12,1319,10.73
J23517,13,1061,8.64
J23517,14,1254,10.21
J23517,15,962,7.83
J23517,16,286,2.33
J23517,17,100,0.81
J23517,18,66,0.54
J23517,19,36,0.29
J23517,20,1,0.01
J23517,21,0,0.0
J23517,22,41,0.33
J23517,23,124,1.01
J40192,0,126,1.25
J40192,1,192,1.9
J40192,2,293,2.9
J40192,3,191,1.89
J40192,4,382,3.78
J40192,5,332,3.29
J40192,6,535,5.3
J40192,7,462,4.58
J40192,8,931,9.22
J40192,9,549,5.44
J40192,10,740,7.33
J40192,11,812,8.04
J40192,12,714,7.07
J40192,13,828,8.2
J40192,14,1455,14.41
J40192,15,1196,11.85
J40192,16,206,2.04
J40192,17,29,0.29
J40192,18,35,0.35
J40192,19,0,0.0
J40192,20,0,0.0
J40192,21,7,0.07
J40192,22,14,0.14
J40192,23,66,0.65
J57489,0,384,3.66
J57489,1,561,5.35
J57489,2,507,4.84
J57489,3,392,3.74
J57489,4,172,1.64
J57489,5,262,2.5
J57489,6,500,4.77
J57489,7,589,5.62
J57489,8,649,6.19
J57489,9,618,5.9
J57489,10,708,6.76
J57489,11,1034,9.87
J57489,12,1061,10.13
J57489,13,777,7.41
J57489,14,891,8.5
J57489,15,923,8.81
J57489,16,202,1.93
J57489,17,77,0.73
J57489,18,51,0.49
J57489,19,5,0.05
J57489,20,2,0.02
J57489,21,0,0.0
J57489,22,30,0.29
J57489,23,84,0.8
J78901,0,136,1.01
J78901,1,367,2.72
J78901,2,790,5.85
J78901,3,673,4.98
J78901,4,446,3.3
J78901,5,590,4.37
J78901,6,1015,7.51
J78901,7,675,5.0
J78901,8,870,6.44
J78901,9,667,4.94
J78901,10,789,5.84
J78901,11,1073,7.94
J78901,12,1177,8.71
J78901,13,1334,9.88
J78901,14,1504,11.13
J78901,15,920,6.81
J78901,16,248,1.84
J78901,17,79,0.58
J78901,18,17,0.13
J78901,19,5,0.04
J78901,20,4,0.03
J78901,21,6,0.04
J78901,22,42,0.31
J78901,23,81,0.6
J87654,0,32,0.31
J87654,1,258,2.51
J87654,2,536,5.21
J87654,3,399,3.88
J87654,4,386,3.75
J87654,5,317,3.08
J87654,6,300,2.92
J87654,7,392,3.81
J87654,8,758,7.37
J87654,9,632,6.15
J87654,10,767,7.46
J87654,11,1010,9.82
J87654,12,936,9.1
J87654,13,1179,11.47
J87654,14,1376,13.38
J87654,15,741,7.21
J87654,16,172,1.67
J87654,17,69,0.67
J87654,18,2,0.02
J87654,19,0,0.0
J87654,20,0,0.0
J87654,21,0,0.0
J87654,22,2,0.02
J87654,23,19,0.18
