class_name,method,method_name,count,ratio,percentage
J23517,Method_gj1NLb4Jn7URf9K2kQPd,方法1,2515,0.2047,20.47
J23517,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法2,2491,0.2027,20.27
J23517,Method_m8vwGkEZc3TSW2xqYUoR,方法3,2469,0.2009,20.09
J23517,Method_BXr9AIsPQhwNvyGdZL57,方法4,2415,0.1965,19.65
J23517,Method_5Q4KoXthUuYz3bvrTDFm,方法5,2397,0.1951,19.51
J40192,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法1,2087,0.2067,20.67
J40192,Method_gj1NLb4Jn7URf9K2kQPd,方法2,2037,0.2018,20.18
J40192,Method_5Q4KoXthUuYz3bvrTDFm,方法3,2033,0.2014,20.14
J40192,Method_m8vwGkEZc3TSW2xqYUoR,方法4,1970,0.1951,19.51
J40192,Method_BXr9AIsPQhwNvyGdZL57,方法5,1968,0.1949,19.49
J57489,Method_5Q4KoXthUuYz3bvrTDFm,方法1,2109,0.2013,20.13
J57489,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法2,2103,0.2007,20.07
J57489,Method_BXr9AIsPQhwNvyGdZL57,方法3,2101,0.2005,20.05
J57489,Method_m8vwGkEZc3TSW2xqYUoR,方法4,2090,0.1994,19.94
J57489,Method_gj1NLb4Jn7URf9K2kQPd,方法5,2076,0.1981,19.81
J78901,Method_gj1NLb4Jn7URf9K2kQPd,方法1,2766,0.2048,20.48
J78901,Method_5Q4KoXthUuYz3bvrTDFm,方法2,2753,0.2038,20.38
J78901,Method_m8vwGkEZc3TSW2xqYUoR,方法3,2727,0.2019,20.19
J78901,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法4,2655,0.1966,19.66
J78901,Method_BXr9AIsPQhwNvyGdZL57,方法5,2607,0.193,19.3
J87654,Method_gj1NLb4Jn7URf9K2kQPd,方法1,2146,0.2087,20.87
J87654,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法2,2126,0.2067,20.67
J87654,Method_5Q4KoXthUuYz3bvrTDFm,方法3,2059,0.2002,20.02
J87654,Method_BXr9AIsPQhwNvyGdZL57,方法4,2019,0.1963,19.63
J87654,Method_m8vwGkEZc3TSW2xqYUoR,方法5,1933,0.188,18.8
