student_ID,hour,count,percentage
8b6d1125760bd3939b6e,0,0,0.0
8b6d1125760bd3939b6e,1,0,0.0
8b6d1125760bd3939b6e,2,3,4.48
8b6d1125760bd3939b6e,3,0,0.0
8b6d1125760bd3939b6e,4,0,0.0
8b6d1125760bd3939b6e,5,4,5.97
8b6d1125760bd3939b6e,6,12,17.91
8b6d1125760bd3939b6e,7,0,0.0
8b6d1125760bd3939b6e,8,0,0.0
8b6d1125760bd3939b6e,9,0,0.0
8b6d1125760bd3939b6e,10,0,0.0
8b6d1125760bd3939b6e,11,5,7.46
8b6d1125760bd3939b6e,12,0,0.0
8b6d1125760bd3939b6e,13,0,0.0
8b6d1125760bd3939b6e,14,40,59.7
8b6d1125760bd3939b6e,15,3,4.48
8b6d1125760bd3939b6e,16,0,0.0
8b6d1125760bd3939b6e,17,0,0.0
8b6d1125760bd3939b6e,18,0,0.0
8b6d1125760bd3939b6e,19,0,0.0
8b6d1125760bd3939b6e,20,0,0.0
8b6d1125760bd3939b6e,21,0,0.0
8b6d1125760bd3939b6e,22,0,0.0
8b6d1125760bd3939b6e,23,0,0.0
63eef37311aaac915a45,0,0,0.0
63eef37311aaac915a45,1,0,0.0
63eef37311aaac915a45,2,14,5.69
63eef37311aaac915a45,3,28,11.38
63eef37311aaac915a45,4,54,21.95
63eef37311aaac915a45,5,0,0.0
63eef37311aaac915a45,6,4,1.63
63eef37311aaac915a45,7,2,0.81
63eef37311aaac915a45,8,8,3.25
63eef37311aaac915a45,9,6,2.44
63eef37311aaac915a45,10,0,0.0
63eef37311aaac915a45,11,0,0.0
63eef37311aaac915a45,12,0,0.0
63eef37311aaac915a45,13,0,0.0
63eef37311aaac915a45,14,0,0.0
63eef37311aaac915a45,15,12,4.88
63eef37311aaac915a45,16,83,33.74
63eef37311aaac915a45,17,25,10.16
63eef37311aaac915a45,18,10,4.07
63eef37311aaac915a45,19,0,0.0
63eef37311aaac915a45,20,0,0.0
63eef37311aaac915a45,21,0,0.0
63eef37311aaac915a45,22,0,0.0
63eef37311aaac915a45,23,0,0.0
5d89810b20079366fcc2,0,0,0.0
5d89810b20079366fcc2,1,0,0.0
5d89810b20079366fcc2,2,0,0.0
5d89810b20079366fcc2,3,0,0.0
5d89810b20079366fcc2,4,1,2.04
5d89810b20079366fcc2,5,10,20.41
5d89810b20079366fcc2,6,15,30.61
5d89810b20079366fcc2,7,0,0.0
5d89810b20079366fcc2,8,0,0.0
5d89810b20079366fcc2,9,12,24.49
5d89810b20079366fcc2,10,0,0.0
5d89810b20079366fcc2,11,0,0.0
5d89810b20079366fcc2,12,0,0.0
5d89810b20079366fcc2,13,0,0.0
5d89810b20079366fcc2,14,0,0.0
5d89810b20079366fcc2,15,11,22.45
5d89810b20079366fcc2,16,0,0.0
5d89810b20079366fcc2,17,0,0.0
5d89810b20079366fcc2,18,0,0.0
5d89810b20079366fcc2,19,0,0.0
5d89810b20079366fcc2,20,0,0.0
5d89810b20079366fcc2,21,0,0.0
5d89810b20079366fcc2,22,0,0.0
5d89810b20079366fcc2,23,0,0.0
47eeab842793b09300c3,0,1,0.96
47eeab842793b09300c3,1,1,0.96
47eeab842793b09300c3,2,6,5.77
47eeab842793b09300c3,3,5,4.81
47eeab842793b09300c3,4,3,2.88
47eeab842793b09300c3,5,30,28.85
47eeab842793b09300c3,6,21,20.19
47eeab842793b09300c3,7,0,0.0
47eeab842793b09300c3,8,0,0.0
47eeab842793b09300c3,9,0,0.0
47eeab842793b09300c3,10,2,1.92
47eeab842793b09300c3,11,0,0.0
47eeab842793b09300c3,12,2,1.92
47eeab842793b09300c3,13,2,1.92
47eeab842793b09300c3,14,5,4.81
47eeab842793b09300c3,15,26,25.0
47eeab842793b09300c3,16,0,0.0
47eeab842793b09300c3,17,0,0.0
47eeab842793b09300c3,18,0,0.0
47eeab842793b09300c3,19,0,0.0
47eeab842793b09300c3,20,0,0.0
47eeab842793b09300c3,21,0,0.0
47eeab842793b09300c3,22,0,0.0
47eeab842793b09300c3,23,0,0.0
a8eea517e36b20757b2e,0,8,4.79
a8eea517e36b20757b2e,1,27,16.17
a8eea517e36b20757b2e,2,27,16.17
a8eea517e36b20757b2e,3,10,5.99
a8eea517e36b20757b2e,4,0,0.0
a8eea517e36b20757b2e,5,18,10.78
a8eea517e36b20757b2e,6,3,1.8
a8eea517e36b20757b2e,7,3,1.8
a8eea517e36b20757b2e,8,9,5.39
a8eea517e36b20757b2e,9,0,0.0
a8eea517e36b20757b2e,10,9,5.39
a8eea517e36b20757b2e,11,21,12.57
a8eea517e36b20757b2e,12,0,0.0
a8eea517e36b20757b2e,13,5,2.99
a8eea517e36b20757b2e,14,26,15.57
a8eea517e36b20757b2e,15,0,0.0
a8eea517e36b20757b2e,16,1,0.6
a8eea517e36b20757b2e,17,0,0.0
a8eea517e36b20757b2e,18,0,0.0
a8eea517e36b20757b2e,19,0,0.0
a8eea517e36b20757b2e,20,0,0.0
a8eea517e36b20757b2e,21,0,0.0
a8eea517e36b20757b2e,22,0,0.0
a8eea517e36b20757b2e,23,0,0.0
e89cdaa3f159a0d3f55e,0,1,0.24
e89cdaa3f159a0d3f55e,1,7,1.67
e89cdaa3f159a0d3f55e,2,5,1.19
e89cdaa3f159a0d3f55e,3,6,1.43
e89cdaa3f159a0d3f55e,4,0,0.0
e89cdaa3f159a0d3f55e,5,0,0.0
e89cdaa3f159a0d3f55e,6,8,1.9
e89cdaa3f159a0d3f55e,7,8,1.9
e89cdaa3f159a0d3f55e,8,11,2.62
e89cdaa3f159a0d3f55e,9,21,5.0
e89cdaa3f159a0d3f55e,10,6,1.43
e89cdaa3f159a0d3f55e,11,13,3.1
e89cdaa3f159a0d3f55e,12,58,13.81
e89cdaa3f159a0d3f55e,13,82,19.52
e89cdaa3f159a0d3f55e,14,80,19.05
e89cdaa3f159a0d3f55e,15,70,16.67
e89cdaa3f159a0d3f55e,16,29,6.9
e89cdaa3f159a0d3f55e,17,15,3.57
e89cdaa3f159a0d3f55e,18,0,0.0
e89cdaa3f159a0d3f55e,19,0,0.0
e89cdaa3f159a0d3f55e,20,0,0.0
e89cdaa3f159a0d3f55e,21,0,0.0
e89cdaa3f159a0d3f55e,22,0,0.0
e89cdaa3f159a0d3f55e,23,0,0.0
e324cc9cb52a2b3cb9cb,0,0,0.0
e324cc9cb52a2b3cb9cb,1,0,0.0
e324cc9cb52a2b3cb9cb,2,12,5.74
e324cc9cb52a2b3cb9cb,3,17,8.13
e324cc9cb52a2b3cb9cb,4,8,3.83
e324cc9cb52a2b3cb9cb,5,15,7.18
e324cc9cb52a2b3cb9cb,6,46,22.01
e324cc9cb52a2b3cb9cb,7,11,5.26
e324cc9cb52a2b3cb9cb,8,4,1.91
e324cc9cb52a2b3cb9cb,9,5,2.39
e324cc9cb52a2b3cb9cb,10,3,1.44
e324cc9cb52a2b3cb9cb,11,8,3.83
e324cc9cb52a2b3cb9cb,12,15,7.18
e324cc9cb52a2b3cb9cb,13,21,10.05
e324cc9cb52a2b3cb9cb,14,32,15.31
e324cc9cb52a2b3cb9cb,15,12,5.74
e324cc9cb52a2b3cb9cb,16,0,0.0
e324cc9cb52a2b3cb9cb,17,0,0.0
e324cc9cb52a2b3cb9cb,18,0,0.0
e324cc9cb52a2b3cb9cb,19,0,0.0
e324cc9cb52a2b3cb9cb,20,0,0.0
e324cc9cb52a2b3cb9cb,21,0,0.0
e324cc9cb52a2b3cb9cb,22,0,0.0
e324cc9cb52a2b3cb9cb,23,0,0.0
98e10f84d94623f8b39e,0,0,0.0
98e10f84d94623f8b39e,1,0,0.0
98e10f84d94623f8b39e,2,0,0.0
98e10f84d94623f8b39e,3,0,0.0
98e10f84d94623f8b39e,4,5,3.09
98e10f84d94623f8b39e,5,10,6.17
98e10f84d94623f8b39e,6,12,7.41
