student_ID,knowledge_id,knowledge_name,mastery,mastery_percentage,question_count,submit_count,correct_count,level
8b6d1125760bd3939b6e,b3C9s,知识点b3C9s,0.8337,83.37,3,5,3,good
8b6d1125760bd3939b6e,g7R2j,知识点g7R2j,0.9987,99.87,5,5,5,good
8b6d1125760bd3939b6e,k4W1c,知识点k4W1c,0.9993,99.93,1,1,1,good
8b6d1125760bd3939b6e,m3D1v,知识点m3D1v,0.9405,94.05,12,19,13,good
8b6d1125760bd3939b6e,r8S3g,知识点r8S3g,0.7968,79.68,5,20,6,good
8b6d1125760bd3939b6e,s8Y2f,知识点s8Y2f,0.8146,81.46,1,2,1,good
8b6d1125760bd3939b6e,t5V9e,知识点t5V9e,0.9391,93.91,5,9,8,good
8b6d1125760bd3939b6e,y9W5d,知识点y9W5d,0.956,95.6,11,17,11,good
63eef37311aaac915a45,b3C9s,知识点b3C9s,0.861,86.1,3,7,4,good
63eef37311aaac915a45,g7R2j,知识点g7R2j,0.7989,79.89,5,20,5,good
63eef37311aaac915a45,k4W1c,知识点k4W1c,0.8143,81.43,1,1,1,good
63eef37311aaac915a45,m3D1v,知识点m3D1v,0.7672,76.72,12,117,30,good
63eef37311aaac915a45,r8S3g,知识点r8S3g,0.7229,72.29,5,29,6,good
63eef37311aaac915a45,s8Y2f,知识点s8Y2f,0.5771,57.71,1,23,1,medium
63eef37311aaac915a45,t5V9e,知识点t5V9e,0.7085,70.85,5,36,24,good
63eef37311aaac915a45,y9W5d,知识点y9W5d,0.8102,81.02,11,94,18,good
5d89810b20079366fcc2,b3C9s,知识点b3C9s,0.8694,86.94,3,4,3,good
5d89810b20079366fcc2,g7R2j,知识点g7R2j,0.5992,59.92,3,3,3,medium
5d89810b20079366fcc2,k4W1c,知识点k4W1c,0.9987,99.87,1,2,2,good
5d89810b20079366fcc2,m3D1v,知识点m3D1v,0.9769,97.69,12,15,12,good
5d89810b20079366fcc2,r8S3g,知识点r8S3g,0.8471,84.71,5,14,7,good
5d89810b20079366fcc2,s8Y2f,知识点s8Y2f,0.8149,81.49,1,2,1,good
5d89810b20079366fcc2,t5V9e,知识点t5V9e,0.999,99.9,5,5,5,good
5d89810b20079366fcc2,y9W5d,知识点y9W5d,0.9607,96.07,11,14,13,good
47eeab842793b09300c3,b3C9s,知识点b3C9s,0.7594,75.94,3,10,4,good
47eeab842793b09300c3,g7R2j,知识点g7R2j,0.7106,71.06,5,13,6,good
47eeab842793b09300c3,k4W1c,知识点k4W1c,0.8139,81.39,1,1,1,good
47eeab842793b09300c3,m3D1v,知识点m3D1v,0.7932,79.32,12,42,22,good
47eeab842793b09300c3,r8S3g,知识点r8S3g,0.7541,75.41,5,24,6,good
47eeab842793b09300c3,s8Y2f,知识点s8Y2f,0.814,81.4,1,2,1,good
47eeab842793b09300c3,t5V9e,知识点t5V9e,0.7701,77.01,5,13,7,good
47eeab842793b09300c3,y9W5d,知识点y9W5d,0.8666,86.66,11,29,17,good
a8eea517e36b20757b2e,b3C9s,知识点b3C9s,0.944,94.4,3,4,3,good
a8eea517e36b20757b2e,g7R2j,知识点g7R2j,0.6638,66.38,5,11,1,good
a8eea517e36b20757b2e,k4W1c,知识点k4W1c,0.9993,99.93,1,2,2,good
