student_ID,method,method_name,count,ratio,percentage
8b6d1125760bd3939b6e,Method_5Q4KoXthUuYz3bvrTDFm,方法1,19,0.2836,28.36
8b6d1125760bd3939b6e,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法2,15,0.2239,22.39
8b6d1125760bd3939b6e,Method_gj1NLb4Jn7URf9K2kQPd,方法3,14,0.209,20.9
8b6d1125760bd3939b6e,Method_m8vwGkEZc3TSW2xqYUoR,方法4,10,0.1493,14.93
8b6d1125760bd3939b6e,Method_BXr9AIsPQhwNvyGdZL57,方法5,9,0.1343,13.43
63eef37311aaac915a45,Method_m8vwGkEZc3TSW2xqYUoR,方法1,68,0.2764,27.64
63eef37311aaac915a45,Method_BXr9AIsPQhwNvyGdZL57,方法2,49,0.1992,19.92
63eef37311aaac915a45,Method_gj1NLb4Jn7URf9K2kQPd,方法3,48,0.1951,19.51
63eef37311aaac915a45,Method_5Q4KoXthUuYz3bvrTDFm,方法4,44,0.1789,17.89
63eef37311aaac915a45,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法5,37,0.1504,15.04
5d89810b20079366fcc2,Method_5Q4KoXthUuYz3bvrTDFm,方法1,13,0.2653,26.53
5d89810b20079366fcc2,Method_m8vwGkEZc3TSW2xqYUoR,方法2,11,0.2245,22.45
5d89810b20079366fcc2,Method_gj1NLb4Jn7URf9K2kQPd,方法3,11,0.2245,22.45
5d89810b20079366fcc2,Method_BXr9AIsPQhwNvyGdZL57,方法4,8,0.1633,16.33
5d89810b20079366fcc2,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法5,6,0.1224,12.24
47eeab842793b09300c3,Method_BXr9AIsPQhwNvyGdZL57,方法1,26,0.25,25.0
47eeab842793b09300c3,Method_m8vwGkEZc3TSW2xqYUoR,方法2,25,0.2404,24.04
47eeab842793b09300c3,Method_5Q4KoXthUuYz3bvrTDFm,方法3,24,0.2308,23.08
47eeab842793b09300c3,Method_gj1NLb4Jn7URf9K2kQPd,方法4,16,0.1538,15.38
47eeab842793b09300c3,Method_Cj9Ya2R7fZd6xs1q5mNQ,方法5,13,0.125,12.5
