student_ID,month,submit_count,question_count,correct_count,correct_ratio,correct_percentage
8b6d1125760bd3939b6e,2023-10,16,6,6,0.375,37.5
8b6d1125760bd3939b6e,2023-11,8,4,8,1.0,100.0
8b6d1125760bd3939b6e,2024-01,43,28,28,0.6512,65.12
63eef37311aaac915a45,2023-12,245,38,76,0.3102,31.02
63eef37311aaac915a45,2024-01,1,1,1,1.0,100.0
5d89810b20079366fcc2,2023-10,11,6,6,0.5455,54.55
5d89810b20079366fcc2,2023-11,14,13,12,0.8571,85.71
5d89810b20079366fcc2,2023-12,13,11,11,0.8462,84.62
5d89810b20079366fcc2,2024-01,11,10,10,0.9091,90.91
47eeab842793b09300c3,2023-09,19,6,5,0.2632,26.32
47eeab842793b09300c3,2023-10,50,21,27,0.54,54.0
47eeab842793b09300c3,2023-11,6,4,4,0.6667,66.67
47eeab842793b09300c3,2023-12,27,11,12,0.4444,44.44
47eeab842793b09300c3,2024-01,2,1,2,1.0,100.0
a8eea517e36b20757b2e,2023-11,118,14,45,0.3814,38.14
a8eea517e36b20757b2e,2023-12,24,7,8,0.3333,33.33
a8eea517e36b20757b2e,2024-01,25,15,12,0.48,48.0
e89cdaa3f159a0d3f55e,2023-10,74,12,33,0.4459,44.59
e89cdaa3f159a0d3f55e,2023-11,239,21,100,0.4184,41.84
e89cdaa3f159a0d3f55e,2023-12,92,9,40,0.4348,43.48
e89cdaa3f159a0d3f55e,2024-01,15,2,4,0.2667,26.67
e324cc9cb52a2b3cb9cb,2023-11,41,5,5,0.122,12.2
e324cc9cb52a2b3cb9cb,2023-12,168,35,47,0.2798,27.98
98e10f84d94623f8b39e,2023-09,4,2,2,0.5,50.0
98e10f84d94623f8b39e,2023-10,65,12,30,0.4615,46.15
98e10f84d94623f8b39e,2023-12,93,24,29,0.3118,31.18
3c89c7f1db26ae691db8,2023-10,100,10,20,0.2,20.0
3c89c7f1db26ae691db8,2023-11,115,10,55,0.4783,47.83
3c89c7f1db26ae691db8,2023-12,33,18,29,0.8788,87.88
3c89c7f1db26ae691db8,2024-01,3,3,3,1.0,100.0
9ea29e4a747ea4a7c70a,2023-10,66,20,44,0.6667,66.67
9ea29e4a747ea4a7c70a,2023-11,89,18,46,0.5169,51.69
9ea29e4a747ea4a7c70a,2023-12,9,4,8,0.8889,88.89
e23ada44d3eac9b465d2,2023-09,4,4,2,0.5,50.0
e23ada44d3eac9b465d2,2023-10,26,14,16,0.6154,61.54
e23ada44d3eac9b465d2,2023-11,28,8,18,0.6429,64.29
e23ada44d3eac9b465d2,2023-12,16,14,16,1.0,100.0
b79c2d9d8148403a3720,2023-10,223,38,163,0.7309,73.09
b79c2d9d8148403a3720,2023-11,9,3,9,1.0,100.0
b79c2d9d8148403a3720,2023-12,2,1,2,1.0,100.0
01d8aa21ef476b66c573,2023-10,38,10,23,0.6053,60.53
01d8aa21ef476b66c573,2023-11,74,19,50,0.6757,67.57
01d8aa21ef476b66c573,2023-12,17,10,10,0.5882,58.82
9417c1b4c24e428984bc,2023-10,83,16,51,0.6145,61.45
9417c1b4c24e428984bc,2023-11,95,17,41,0.4316,43.16
9417c1b4c24e428984bc,2023-12,18,9,14,0.7778,77.78
3d63ba961a5f3a60616a,2023-10,49,22,35,0.7143,71.43
3d63ba961a5f3a60616a,2023-11,8,7,8,1.0,100.0
3d63ba961a5f3a60616a,2023-12,19,10,10,0.5263,52.63
57709f904b1cc9ec60b1,2023-10,62,16,20,0.3226,32.26
57709f904b1cc9ec60b1,2023-11,79,16,55,0.6962,69.62
57709f904b1cc9ec60b1,2023-12,19,10,12,0.6316,63.16
8979427badebb9e2bd10,2023-10,30,15,16,0.5333,53.33
8979427badebb9e2bd10,2023-11,49,5,4,0.0816,8.16
8979427badebb9e2bd10,2023-12,39,19,38,0.9744,97.44
6e7d56f652020f046204,2023-10,48,12,24,0.5,50.0
6e7d56f652020f046204,2023-11,58,19,32,0.5517,55.17
6e7d56f652020f046204,2023-12,34,10,15,0.4412,44.12
03aa0b20dd4af1888eef,2023-10,45,10,13,0.2889,28.89
03aa0b20dd4af1888eef,2023-11,58,19,50,0.8621,86.21
03aa0b20dd4af1888eef,2023-12,57,13,38,0.6667,66.67
1b25734414fcc7466153,2023-09,4,2,2,0.5,50.0
1b25734414fcc7466153,2023-10,100,28,59,0.59,59.0
1b25734414fcc7466153,2023-11,68,9,35,0.5147,51.47
1b25734414fcc7466153,2023-12,3,3,3,1.0,100.0
8777bd09f180d330b147,2023-09,13,5,7,0.5385,53.85
8777bd09f180d330b147,2023-10,52,16,29,0.5577,55.77
8777bd09f180d330b147,2023-11,55,19,23,0.4182,41.82
8b1fbc97391699e46cef,2023-10,77,13,37,0.4805,48.05
8b1fbc97391699e46cef,2023-11,179,22,97,0.5419,54.19
8b1fbc97391699e46cef,2023-12,22,6,14,0.6364,63.64
